Toss,Series,Season,Player Of The Match,Match days,Umpires,TV Umpire,Reserve Umpire,Match Referee,Points,Match Info,Target
"Janakpur Bolts (NPL), elected to field first",Nepal Premier League,2024/25,Lahiru Milantha,30 November 2024 - day (20-over match),"['Durga Subedi', 'Vinay Kumar']",Bismillah Jan Shinwari,Ujjwal Regmi,Mohammed Shafique,"Janakpur Bolts (NPL) 2, Biratnagar Kings (NPL) 0",Janakpur won by 8 wickets (with 27 balls remaining),127
"Chitwan Rhinos (NPL), elected to field first",Nepal Premier League,2024/25,Sohail Tanvir,02 December 2024 - day (20-over match),"['Buddhi Pradhan', 'Himal Giri']",Durga Subedi,Hem Raj Bhatta,Mohammed Shafique,"Chitwan Rhinos (NPL) 2, Kathmandu Gurkhas (NPL) 0",Chitwan won by 5 wickets (with 17 balls remaining),111/9
"Karnali Yaks (NPL), elected to bat first",Nepal Premier League,2024/25,Anil Sah,02 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Rashid Riaz']",Vinay Kumar,Ujjwal Regmi,Mohammed Shafique,"Janakpur Bolts (NPL) 2, Karnali Yaks (NPL) 0",Janakpur won by 8 wickets (with 29 balls remaining),141/7
"Biratnagar Kings (NPL), elected to field first",Nepal Premier League,2024/25,Dipendra Singh Airee,03 December 2024 - day (20-over match),"['Durga Subedi', 'Himal Giri']",Rashid Riaz,Ujjwal Regmi,Mohammed Shafique,"Sudur Paschim Royals (NPL) 2, Biratnagar Kings (NPL) 0",S Paschim won by 90 runs,182/7
"Pokhara Avengers (NPL), elected to field first",Nepal Premier League,2024/25,Rijan Dhakal,03 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Vinay Kumar']",Buddhi Pradhan,Hem Raj Bhatta,Mohammed Shafique,"Chitwan Rhinos (NPL) 2, Pokhara Avengers (NPL) 0",Chitwan won by 87 runs,161/7
"Kathmandu Gurkhas (NPL), elected to field first",Nepal Premier League,2024/25,Sumit Maharjan,04 December 2024 - day (20-over match),"['Himal Giri', 'Rashid Riaz']",Vinay Kumar,Hem Raj Bhatta,Manu Nayar,"Kathmandu Gurkhas (NPL) 2, Karnali Yaks (NPL) 0",Kathmandu won by 3 wickets (with 3 balls remaining),149/5
"Biratnagar Kings (NPL), elected to field first",Nepal Premier League,2024/25,Lokesh Bam,04 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Buddhi Pradhan']",Durga Subedi,Ujjwal Regmi,Manu Nayar,"Biratnagar Kings (NPL) 2, Lumbini Lions (NPL) 0",Biratnagar won by 2 wickets (with 1 ball remaining),191/7
"Janakpur Bolts (NPL), elected to field first",Nepal Premier League,2024/25,James Neesham,05 December 2024 - day (20-over match),"['Durga Subedi', 'Vinay Kumar']",Buddhi Pradhan,Ujjwal Regmi,Mohammed Shafique,"Janakpur Bolts (NPL) 2, Pokhara Avengers (NPL) 0",Janakpur won by 7 wickets (with 17 balls remaining),138/7
"Kathmandu Gurkhas (NPL), elected to field first",Nepal Premier League,2024/25,Naren Saud,05 December 2024 - day (20-over match),"['Himal Giri', 'Rashid Riaz']",Bismillah Jan Shinwari,Hem Raj Bhatta,Manu Nayar,"Sudur Paschim Royals (NPL) 2, Kathmandu Gurkhas (NPL) 0",S Paschim won by 73 runs,167/6
"Karnali Yaks (NPL), elected to field first",Nepal Premier League,2024/25,Bipin Sharma,06 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Durga Subedi']",Rashid Riaz,Hem Raj Bhatta,Mohammed Shafique,"Karnali Yaks (NPL) 2, Chitwan Rhinos (NPL) 0",Karnali won by 6 wickets (with 1 ball remaining),130/7
"Lumbini Lions (NPL), elected to bat first",Nepal Premier League,2024/25,Andries Gous,06 December 2024 - day (20-over match),"['Buddhi Pradhan', 'Himal Giri']",Vinay Kumar,Ujjwal Regmi,Manu Nayar,"Pokhara Avengers (NPL) 2, Lumbini Lions (NPL) 0",Pokhara won by 10 wickets (with 19 balls remaining),170/5
"Lumbini Lions (NPL), elected to field first",Nepal Premier League,2024/25,Saif Zaib,07 December 2024 - day (20-over match),"['Buddhi Pradhan', 'Rashid Riaz']",Bismillah Jan Shinwari,Basu Karn,Manu Nayar,"Sudur Paschim Royals (NPL) 2, Lumbini Lions (NPL) 0",S Paschim won by 45 runs,187/4
"Biratnagar Kings (NPL), elected to field first",Nepal Premier League,2024/25,William Bosisto,07 December 2024 - day (20-over match),"['Himal Giri', 'Vinay Kumar']",Durga Subedi,Ram Pandey,Mohammed Shafique,"Karnali Yaks (NPL) 2, Biratnagar Kings (NPL) 0",Karnali won by 7 runs,133
"Lumbini Lions (NPL), elected to field first",Nepal Premier League,2024/25,Harsh Thaker,08 December 2024 - day (20-over match),"['Durga Subedi', 'Himal Giri']",Buddhi Pradhan,Ram Pandey,Manu Nayar,"Janakpur Bolts (NPL) 2, Lumbini Lions (NPL) 0",Janakpur won by 1 run,136/9
"Chitwan Rhinos (NPL), elected to bat first",Nepal Premier League,2024/25,Hassan Eisakhil,08 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Rashid Riaz']",Vinay Kumar,Basu Karn,Mohammed Shafique,"Chitwan Rhinos (NPL) 2, Sudur Paschim Royals (NPL) 0",Chitwan won by 33 runs,164/5
"Chitwan Rhinos (NPL), elected to field first",Nepal Premier League,2024/25,Rohit Paudel,10 December 2024 - day (20-over match),"['Buddhi Pradhan', 'Himal Giri']",Durga Subedi,Basu Karn,Mohammed Shafique,"Lumbini Lions (NPL) 2, Chitwan Rhinos (NPL) 0",Lumbini won by 33 runs,167/6
"Pokhara Avengers (NPL), elected to bat first",Nepal Premier League,2024/25,William Bosisto,10 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Sanjay Gurung']",Rashid Riaz,Ram Pandey,Manu Nayar,"Karnali Yaks (NPL) 2, Pokhara Avengers (NPL) 0",Karnali won by 7 wickets (with 30 balls remaining),103
"Janakpur Bolts (NPL), elected to field first",Nepal Premier League,2024/25,Ishan Pandey,11 December 2024 - day (20-over match),"['Durga Subedi', 'Vinay Kumar']",Sanjay Gurung,Ram Pandey,Manu Nayar,"Sudur Paschim Royals (NPL) 2, Janakpur Bolts (NPL) 0",S Paschim won by 72 runs,123/9
"Kathmandu Gurkhas (NPL), elected to bat first",Nepal Premier League,2024/25,Karan KC,11 December 2024 - day (20-over match),"['Himal Giri', 'Rashid Riaz']",Bismillah Jan Shinwari,Basu Karn,Manu Nayar,"Kathmandu Gurkhas (NPL) 2, Lumbini Lions (NPL) 0",Kathmandu won by 18 runs,103
"Biratnagar Kings (NPL), elected to bat first",Nepal Premier League,2024/25,Raymon Reifer,12 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Vinay Kumar']",Rashid Riaz,Basu Karn,Manu Nayar,"Biratnagar Kings (NPL) 0, Pokhara Avengers (NPL) 2",Match tied (Pokhara won the Super Over),139/7
"Kathmandu Gurkhas (NPL), elected to bat first",Nepal Premier League,2024/25,Lalit Rajbanshi,12 December 2024 - day (20-over match),"['Himal Giri', 'Sanjay Gurung']",Buddhi Pradhan,Ram Pandey,Mohammed Shafique,"Janakpur Bolts (NPL) 2, Kathmandu Gurkhas (NPL) 0",Janakpur won by 5 wickets (with 25 balls remaining),101
"Lumbini Lions (NPL), elected to field first",Nepal Premier League,2024/25,William Bosisto,13 December 2024 - day (20-over match),"['Himal Giri', 'Rashid Riaz']",Vinay Kumar,Ram Pandey,Mohammed Shafique,"Karnali Yaks (NPL) 2, Lumbini Lions (NPL) 0",Karnali won by 5 runs,128/8
"Biratnagar Kings (NPL), elected to bat first",Nepal Premier League,2024/25,Basir Ahamad,13 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Buddhi Pradhan']",Durga Subedi,Basu Karn,Mohammed Shafique,"Biratnagar Kings (NPL) 2, Chitwan Rhinos (NPL) 0",Biratnagar won by 51 runs,181/5
"Kathmandu Gurkhas (NPL), elected to field first",Nepal Premier League,2024/25,Stephen Eskinazi,14 December 2024 - day (20-over match),"['Durga Subedi', 'Rashid Riaz']",Bismillah Jan Shinwari,Kamalesh Thakur,Mohammed Shafique,"Kathmandu Gurkhas (NPL) 2, Pokhara Avengers (NPL) 0",Kathmandu won by 6 wickets (with 35 balls remaining),138/8
"Chitwan Rhinos (NPL), elected to bat first",Nepal Premier League,2024/25,Kushal Malla,14 December 2024 - day (20-over match),"['Sanjay Gurung', 'Vinay Kumar']",Buddhi Pradhan,Sanjay Sigdel,Manu Nayar,"Chitwan Rhinos (NPL) 2, Janakpur Bolts (NPL) 0",Chitwan won by 32 runs,180/5
"Kathmandu Gurkhas (NPL), elected to field first",Nepal Premier League,2024/25,Dipesh Kandel,15 December 2024 - day (20-over match),"['Buddhi Pradhan', 'Durga Subedi']",Vinay Kumar,Sanjay Sigdel,Manu Nayar,"Kathmandu Gurkhas (NPL) 2, Biratnagar Kings (NPL) 0",Kathmandu won by 1 wicket (with 11 balls remaining),117
"Pokhara Avengers (NPL), elected to field first",Nepal Premier League,2024/25,Scott Kuggeleijn,15 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Rashid Riaz']",Sanjay Gurung,Kamalesh Thakur,Mohammed Shafique,"Sudur Paschim Royals (NPL) 2, Pokhara Avengers (NPL) 0",S Paschim won by 5 runs,153/7
"Sudur Paschim Royals (NPL), elected to field first",Nepal Premier League,2024/25,Dipendra Singh Airee,16 December 2024 - day (20-over match),"['Himal Giri', 'Sanjay Gurung']",Bismillah Jan Shinwari,Kamalesh Thakur,Mohammed Shafique,"Sudur Paschim Royals (NPL) 2, Karnali Yaks (NPL) 0",S Paschim won by 6 wickets (with 28 balls remaining),101
"Chitwan Rhinos (NPL), elected to field first",Karnali Yaks (NPL) advanced,2024/25,Chadwick Walton,18 December 2024 - day (20-over match),"['Rashid Riaz', 'Sanjay Gurung']",Durga Subedi,Sanjay Sigdel,Manu Nayar,,Karnali won by 21 runs,175/6
"Janakpur Bolts (NPL), elected to bat first",Sudur Paschim Royals (NPL) advanced,2024/25,Binod Bhandari,18 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Buddhi Pradhan']",Vinay Kumar,Kamalesh Thakur,Mohammed Shafique,,S Paschim won by 8 wickets (with 9 balls remaining),139/9
"Janakpur Bolts (NPL), elected to field first",Janakpur Bolts (NPL) advanced,2024/25,James Neesham,19 December 2024 - day (20-over match),"['Durga Subedi', 'Vinay Kumar']",Sanjay Gurung,Kamalesh Thakur,Manu Nayar,,Janakpur won by 2 wickets (with 6 balls remaining),118/9
"Sudur Paschim Royals (NPL), elected to bat first",Nepal Premier League,2024/25,Lahiru Milantha,21 December 2024 - day (20-over match),"['Bismillah Jan Shinwari', 'Rashid Riaz']",Buddhi Pradhan,Sanjay Sigdel,Manu Nayar,,Janakpur won by 5 wickets (with 4 balls remaining),184/9
